J-B P tables 0 to 102 degrees by 1 degree
   15    0    1  103
   0.00
  250.8  274.3  297.7  321.0  344.0  366.8  389.4  411.7  433.6  454.0
  472.7  491.3  509.1  526.3  543.2  560.0  576.5  592.7  608.8  624.7
  640.4  656.1  671.7  687.3  702.7  718.1  733.4  748.6  763.8  778.8
  793.7  808.5  823.1  837.7  852.2  866.5  880.7  894.9  908.9  922.9
  936.7  950.5  964.1  977.7  991.1 1004.5 1017.8 1030.9 1044.0 1057.0
 1069.8 1082.5 1095.1 1107.6 1120.0 1132.3 1144.5 1156.5 1168.4 1180.2
 1191.9 1203.4 1214.8 1226.1 1237.3 1248.3 1259.3 1270.1 1280.8 1291.4
 1301.9 1312.2 1322.4 1332.5 1342.4 1352.2 1361.8 1371.3 1380.7 1389.9
 1399.0 1407.9 1416.7 1425.4 1434.0 1442.5 1451.0 1459.5 1467.9 1476.2
 1484.6 1493.0 1501.3 1509.7 1518.0 1526.3 1534.6    0.0
  223.1
   51.5   57.4   71.9   91.1  112.2  134.4  157.1  180.1  203.2  226.2
  249.2  272.3  295.2  317.9  340.3  362.6  384.8  406.5  426.7  445.8
  464.3  482.3  499.8  516.8  533.6  550.1  566.3  582.5  598.5  614.4
  630.1  645.8  661.3  676.8  692.3  707.6  722.9  738.1  753.1  768.1
  783.0  797.7  812.3  826.8  841.2  855.5  869.7  883.8  897.9  911.8
  925.6  939.3  952.9  966.4  979.8  993.1 1006.3 1019.5 1032.5 1045.5
 1058.3 1071.0 1083.5 1096.0 1108.3 1120.5 1132.6 1144.7 1156.6 1168.3
 1180.0 1191.5 1202.9 1214.1 1225.2 1236.2 1247.1 1257.9 1268.5 1279.1
 1289.5 1299.8 1309.9 1320.0 1329.9 1339.6 1349.2 1358.6 1368.0 1377.1
 1386.2 1395.1 1403.8 1412.5 1421.1 1429.6 1438.1 1446.6 1455.0 1463.3
 1471.7 1480.1 1488.4 1496.8 1505.1 1513.3 1521.7    0.0
  286.5
   65.1   69.7   81.5   98.2  117.5  138.2  159.7  181.7  203.9  226.2
  248.6  271.0  293.3  315.4  337.3  359.1  380.6  400.2  419.3  438.0
  456.1  473.7  490.9  507.8  524.4  540.7  556.8  572.8  588.7  604.5
  620.2  635.8  651.3  666.8  682.2  697.5  712.7  727.9  742.9  757.9
  772.7  787.4  801.9  816.4  830.8  845.0  859.2  873.2  887.2  901.0
  914.8  928.5  942.0  955.5  968.8  982.1  995.3 1008.4 1021.4 1034.3
 1047.1 1059.7 1072.2 1084.6 1096.9 1109.1 1121.2 1133.2 1145.0 1156.8
 1168.4 1179.9 1191.2 1202.4 1213.4 1224.4 1235.3 1246.0 1256.6 1267.1
 1277.5 1287.7 1297.8 1307.8 1317.6 1327.3 1336.8 1346.3 1355.5 1364.7
 1373.7 1382.5 1391.3 1399.9 1408.5 1417.0 1425.5 1433.9 1442.4 1450.7
 1459.1 1467.4 1475.8 1484.1 1492.4 1500.7 1509.0    0.0
  349.9
   78.3   81.9   92.0  106.5  123.9  143.0  163.2  184.1  205.4  226.9
  248.6  270.2  291.8  313.4  335.0  355.2  374.5  393.5  412.3  430.6
  448.3  465.5  482.5  499.1  515.6  531.8  547.8  563.7  579.5  595.2
  610.9  626.5  642.0  657.4  672.7  688.0  703.2  718.2  733.2  748.0
  762.8  777.4  791.9  806.3  820.6  834.8  848.9  862.9  876.9  890.7
  904.4  918.0  931.5  945.0  958.3  971.5  984.6  997.7 1010.6 1023.5
 1036.2 1048.8 1061.3 1073.6 1085.9 1098.0 1110.1 1122.0 1133.8 1145.5
 1157.1 1168.5 1179.8 1191.0 1202.0 1212.9 1223.7 1234.4 1245.0 1255.5
 1265.8 1276.0 1286.0 1296.0 1305.7 1315.4 1324.9 1334.3 1343.5 1352.6
 1361.6 1370.4 1379.1 1387.8 1396.3 1404.8 1413.3 1421.7 1430.2 1438.5
 1446.9 1455.3 1463.6 1471.9 1480.2 1488.5    0.0    0.0
  413.3
   91.2   94.2  102.8  115.5  131.1  148.6  167.4  187.5  207.7  228.3
  249.1  270.0  290.9  311.0  330.8  350.1  369.0  387.6  405.8  423.5
  440.8  457.8  474.5  491.0  507.2  523.3  539.3  555.1  570.8  586.4
  602.0  617.5  633.0  648.4  663.7  678.9  694.0  709.0  723.9  738.7
  753.4  768.0  782.4  796.7  811.0  825.1  839.1  853.1  866.9  880.6
  894.3  907.9  921.4  934.8  948.1  961.3  974.4  987.4 1000.3 1013.0
 1025.7 1038.2 1050.7 1063.0 1075.2 1087.3 1099.3 1111.2 1122.9 1134.6
 1146.1 1157.5 1168.7 1179.8 1190.8 1201.7 1212.5 1223.1 1233.7 1244.1
 1254.4 1264.6 1274.6 1284.6 1294.4 1304.0 1313.5 1322.8 1332.0 1341.1
 1350.0 1358.8 1367.5 1376.1 1384.6 1393.1 1401.6 1410.0 1418.4 1426.8
 1435.1 1443.4 1451.8 1460.1 1468.4 1476.7    0.0    0.0
  476.7
  103.6  106.3  113.6  124.8  138.8  154.9  172.4  190.9  210.0  229.4
  249.0  268.7  288.3  307.6  326.7  345.6  364.0  382.1  399.7  417.0
  434.0  450.8  467.3  483.6  499.7  515.7  531.6  547.3  562.9  578.5
  594.0  609.5  624.9  640.3  655.6  670.8  685.8  700.8  715.6  730.3
  744.9  759.4  773.7  788.0  802.1  816.2  830.2  844.1  857.9  871.6
  885.2  898.7  912.2  925.5  938.8  951.9  964.9  977.9  990.7 1003.4
 1016.0 1028.5 1040.9 1053.1 1065.3 1077.3 1089.2 1101.1 1112.8 1124.3
 1135.8 1147.1 1158.3 1169.4 1180.4 1191.2 1201.9 1212.6 1223.1 1233.4
 1243.7 1253.8 1263.8 1273.7 1283.4 1293.0 1302.4 1311.7 1320.9 1329.9
 1338.8 1347.6 1356.2 1364.8 1373.3 1381.8 1390.3 1398.7 1407.1 1415.5
 1423.9 1432.2 1440.5 1448.8 1457.1 1465.4    0.0    0.0
  540.0
  115.5  117.6  124.1  134.0  146.6  161.2  177.4  194.6  212.5  230.8
  249.4  268.1  286.8  305.2  323.6  341.9  359.8  377.4  394.5  411.5
  428.2  444.8  461.1  477.2  493.2  509.0  524.8  540.4  556.0  571.5
  587.0  602.5  617.8  633.2  648.4  663.5  678.4  693.3  708.0  722.6
  737.1  751.5  765.8  780.0  794.1  808.1  822.0  835.9  849.6  863.2
  876.8  890.3  903.7  916.9  930.1  943.2  956.2  969.0  981.8  994.5
 1007.0 1019.4 1031.7 1043.9 1056.0 1068.0 1079.9 1091.6 1103.3 1114.8
 1126.2 1137.5 1148.6 1159.6 1170.5 1181.3 1192.0 1202.6 1213.0 1223.4
 1233.6 1243.7 1253.6 1263.4 1273.1 1282.6 1292.0 1301.2 1310.3 1319.3
 1328.2 1336.9 1345.6 1354.2 1362.7 1371.1 1379.5 1387.9 1396.3 1404.7
 1413.0 1421.4 1429.7 1438.0 1446.3 1454.6    0.0    0.0
  603.4
  126.9  128.9  134.4  143.2  154.6  167.8  182.7  198.7  215.6  232.9
  250.5  268.3  286.0  303.7  321.5  339.1  356.4  373.5  390.3  407.0
  423.5  439.7  455.9  471.8  487.6  503.3  519.0  534.5  550.1  565.5
  581.0  596.4  611.6  626.8  641.9  656.9  671.8  686.5  701.1  715.7
  730.1  744.4  758.6  772.7  786.8  800.7  814.6  828.4  842.1  855.7
  869.2  882.6  895.9  909.1  922.2  935.2  948.1  960.9  973.6  986.2
  998.7 1011.1 1023.3 1035.5 1047.5 1059.4 1071.2 1082.9 1094.4 1105.9
 1117.2 1128.4 1139.5 1150.5 1161.4 1172.2 1182.9 1193.4 1203.8 1214.1
 1224.2 1234.2 1244.0 1253.8 1263.3 1272.8 1282.1 1291.3 1300.4 1309.3
 1318.2 1326.9 1335.5 1344.1 1352.6 1361.0 1369.4 1377.8 1386.1 1394.5
 1402.9 1411.2 1419.5 1427.8 1436.1    0.0    0.0    0.0
  666.8
  137.9  139.6  144.6  152.4  162.6  174.8  188.3  203.1  218.8  235.2
  251.9  268.9  285.9  303.0  320.1  337.0  353.7  370.4  386.9  403.2
  419.4  435.6  451.5  467.2  482.9  498.5  514.1  529.6  545.1  560.5
  575.9  591.1  606.3  621.4  636.3  651.2  665.9  680.6  695.1  709.6
  723.9  738.1  752.3  766.3  780.2  794.1  807.9  821.6  835.2  848.8
  862.2  875.5  888.7  901.9  914.9  927.8  940.6  953.4  966.0  978.6
  991.0 1003.3 1015.5 1027.5 1039.5 1051.3 1063.0 1074.6 1086.1 1097.5
 1108.8 1120.0 1131.1 1142.0 1152.9 1163.6 1174.2 1184.6 1194.9 1205.1
 1215.2 1225.1 1235.0 1244.6 1254.2 1263.6 1272.8 1281.9 1290.9 1299.8
